crop_id,phase,high_yield_above,inc_N_yield,inc_N_low_SOM,inc_N_low_vigor,inc_N_grassed,inc_N_rain_surplus,inc_N_straw_burial,inc_N_adverse_climate,inc_N_compacted_no_till,inc_N_higher_demand,inc_N_high_density,inc_N_grasses,inc_N_dual_season,inc_N_max,inc_P2O5_yield,inc_P2O5_low_SOM,inc_P2O5_early_sowing,inc_P2O5_continuous_crop,inc_P2O5_high_active_carbonate,inc_P2O5_dual_season,inc_P2O5_max,inc_K2O_yield,inc_K2O_unfertilised_or_late_cv,inc_K2O_low_SOM,inc_K2O_dual_season,inc_K2O_storage_industrial_cv,inc_K2O_max
F3,nd,15.0,40.0,15.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,0.0,0.0,0.0,0.0,50.0
F4,nd,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,0.0,0.0,0.0,0.0,50.0
F5,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F6,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F7,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F8,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F9,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F10,nd,15.0,40.0,15.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,0.0,0.0,0.0,0.0,50.0
F11,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F12,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F13,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F14,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F15,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F16,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F17,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F18,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F19,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F20,nd,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
F21,nd,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0
F22,nd,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
F23,nd,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
F24,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F25,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F26,nd,10.0,30.0,15.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,0.0,0.0,0.0,0.0,40.0
F27,nd,15.6,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,0.0,0.0,0.0,0.0,50.0
F28,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F29,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F30,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
O1,nd,11.0,25.0,15.0,0.0,0.0,20.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,60.0,15.0,10.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,20.0
