crop_id,phase,low_yield_below,red_N_yield,red_N_prev_amendment,red_N_excessive_vigor,red_N_high_SOM,red_N_very_high_SOM,red_N_after_alfalfa_meadow,red_N_after_legume,red_N_3rd_cycle,red_P2O5_yield,red_P2O5_prev_amendment,red_P2O5_high_SOM,red_P2O5_3rd_cycle,red_P2O5_localized,red_K2O_yield,red_K2O_prev_amendment,red_K2O_high_SOM,red_K2O_3rd_cycle,red_K2O_straw_burial
O47,nd,40.0,35.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
O48,nd,,,,,,,,,,,,,,,,,,,
O49,nd,5.0,20.0,20.0,10.0,15.0,0.0,15.0,15.0,0.0,10.0,10.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0
O50,nd,5.0,20.0,20.0,10.0,20.0,0.0,15.0,15.0,0.0,10.0,10.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0
O51,nd,60.0,20.0,20.0,20.0,20.0,0.0,60.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
O52,nd,80.0,20.0,20.0,20.0,20.0,0.0,60.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
O53,nd,60.0,20.0,20.0,20.0,20.0,0.0,15.0,15.0,0.0,30.0,10.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
O54,nd,90.0,30.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0
O55,nd,35.0,30.0,20.0,0.0,20.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
O56,nd,16.0,15.0,20.0,0.0,20.0,0.0,15.0,15.0,0.0,15.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
O57,nd,35.0,0.0,20.0,0.0,20.0,0.0,15.0,15.0,0.0,15.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
O58,nd,16.0,20.0,20.0,0.0,20.0,0.0,15.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O59,nd,30.0,20.0,20.0,0.0,20.0,0.0,15.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O60,nd,,,,,,,,,,,,,,,,,,,
O61,nd,25.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,10.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
O62,nd,15.0,30.0,20.0,0.0,20.0,0.0,15.0,15.0,0.0,15.0,10.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0
O63,nd,30.0,0.0,20.0,0.0,20.0,0.0,10.0,10.0,0.0,15.0,10.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0
O64,nd,6.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,15.0,10.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0
O65,nd,40.0,35.0,20.0,0.0,20.0,0.0,15.0,15.0,0.0,35.0,10.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0
O66,nd,70.0,35.0,20.0,0.0,20.0,0.0,15.0,15.0,0.0,35.0,10.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0
O67,nd,22.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
O68,nd,16.0,20.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
O69,nd,19.0,25.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O70,nd,40.0,25.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O71,nd,28.0,30.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
O72,nd,28.0,30.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
